teaching,teaching.1,coursecontent,coursecontent.1,examination,Examination,labwork,labwork.1,library_facilities, library_facilities,extracurricular,extracurricular.1,feedback_text,cleaned_feedback,blob_score,vader_score,final_score,sentiment
1,good teaching delivery,1.0,course content is good,0.0,average,1,lab work is nice.,1.0,library facility is good,1,extracurrcular activities held in university is good.,good teaching delivery course content is good average lab work is nice. library facility is good extracurrcular activities held in university is good.,good teaching delivery course content is good average lab work is nice library facility is good extracurrcular activities held in university is good,0.5416666666666666,0.9246,0.7331333333333333,Positive
1,"good, teacher is delivery the lecture in the best way they can",1.0,the content of the course is knowledgeable,1.0,examination including exam pattern is good in some ways.MCQs shouls given to students for the preparation of exams.,1,practical work including evaluations are good so that students can learn about practicals.,1.0,library facilities are good for students.,1,"super, the extracurricular activities held in university. So that student can show the efforts in other fields.","good, teacher is delivery the lecture in the best way they can the content of the course is knowledgeable examination including exam pattern is good in some ways.MCQs shouls given to students for the preparation of exams. practical work including evaluations are good so that students can learn about practicals. library facilities are good for students. super, the extracurricular activities held in university. So that student can show the efforts in other fields.",good teacher is delivery the lecture in the best way they can the content of the course is knowledgeable examination including exam pattern is good in some waysmcqs shouls given to students for the preparation of exams practical work including evaluations are good so that students can learn about practicals library facilities are good for students super the extracurricular activities held in university so that student can show the efforts in other fields,0.5726190476190476,0.9623,0.7674595238095239,Positive
0,good and qualified teachers but few lacks in interaction with students and fails to describe a topic,0.0,subjects are appropriate but much depth is required as syllabus includes only basics not the details,-1.0,the level of examination should be raised. Questions with reasoning must be included,1,laboratory provides us a good knowledge about practicals.,1.0,very good library facilities. Issuing time of book must be increased,1,good and ample number of extracurricular activities take place,good and qualified teachers but few lacks in interaction with students and fails to describe a topic subjects are appropriate but much depth is required as syllabus includes only basics not the details the level of examination should be raised. Questions with reasoning must be included laboratory provides us a good knowledge about practicals. very good library facilities. Issuing time of book must be increased good and ample number of extracurricular activities take place,good and qualified teachers but few lacks in interaction with students and fails to describe a topic subjects are appropriate but much depth is required as syllabus includes only basics not the details the level of examination should be raised questions with reasoning must be included laboratory provides us a good knowledge about practicals very good library facilities issuing time of book must be increased good and ample number of extracurricular activities take place,0.33444444444444443,0.9237,0.6290722222222223,Positive
0,average,1.0,good,1.0,ok,1,good,1.0,good,1,good,average good ok good good good,average good ok good good good,0.5249999999999999,0.9153,0.72015,Positive
1,"very good teaching facilities, lecture given are fruitful and teachers are punctual",-1.0,some courses are irrelevant as they are not related to my stream.,1.0,fair marking scheme and adaptable pattern,-1,practical work insome labs are not upto the marks,-1.0,more books should be provided and the issue period should be increased,0,they are good but they should give exposure to more students and not the same.,"very good teaching facilities, lecture given are fruitful and teachers are punctual some courses are irrelevant as they are not related to my stream. fair marking scheme and adaptable pattern practical work insome labs are not upto the marks more books should be provided and the issue period should be increased they are good but they should give exposure to more students and not the same.",very good teaching facilities lecture given are fruitful and teachers are punctual some courses are irrelevant as they are not related to my stream fair marking scheme and adaptable pattern practical work insome labs are not upto the marks more books should be provided and the issue period should be increased they are good but they should give exposure to more students and not the same,0.35124999999999995,0.6424,0.49682499999999996,Positive
0,interaction is good but not with mostly male lecturers.punctuality is maintained by everyone but lecture delivery not peak quality.,-1.0,there are many courses which are irrelevant to the branch. some topics are not covered. There is no proper material for any course,0.0,pattern of examination is good but paper checking is not at all going in a good way.,0,labs are good but experiments are not very informative,1.0,very good library facilities. Issuing time of book must be increased,1,excellent,interaction is good but not with mostly male lecturers.punctuality is maintained by everyone but lecture delivery not peak quality. there are many courses which are irrelevant to the branch. some topics are not covered. There is no proper material for any course pattern of examination is good but paper checking is not at all going in a good way. labs are good but experiments are not very informative very good library facilities. Issuing time of book must be increased excellent,interaction is good but not with mostly male lecturerspunctuality is maintained by everyone but lecture delivery not peak quality there are many courses which are irrelevant to the branch some topics are not covered there is no proper material for any course pattern of examination is good but paper checking is not at all going in a good way labs are good but experiments are not very informative very good library facilities issuing time of book must be increased excellent,0.419090909090909,0.9753,0.6971954545454545,Positive
1,all things are good,1.0,not too bad,-1.0,there should not be negative marking,-1,the labs are not practically built,0.0,never went there,0,I donot participate,all things are good not too bad there should not be negative marking the labs are not practically built never went there I donot participate,all things are good not too bad there should not be negative marking the labs are not practically built never went there i donot participate,-0.09999999999999996,0.8293,0.36465000000000003,Positive
1,all things are good,1.0,not too bad,1.0,all things are good,1,good,1.0,they are good,0,I donot participate,all things are good not too bad all things are good good they are good I donot participate,all things are good not too bad all things are good good they are good i donot participate,0.41999999999999993,0.9253,0.67265,Positive
1,all activties are good,1.0,course material is perfect,-1.0,there should not be negative marking,1,practical work is good,-1.0,book issuing time should be increased for 2 weeks,1,all are enough,all activties are good course material is perfect there should not be negative marking practical work is good book issuing time should be increased for 2 weeks all are enough,all activties are good course material is perfect there should not be negative marking practical work is good book issuing time should be increased for 2 weeks all are enough,0.41999999999999993,0.9273,0.67365,Positive
1,all activties are good,1.0,not bad,-1.0,there should not be negative marking,1,good,1.0,good,1,all activities are good,all activties are good not bad there should not be negative marking good good all activities are good,all activties are good not bad there should not be negative marking good good all activities are good,0.4749999999999999,0.9473,0.71115,Positive
1,good,1.0,good,1.0,not bad,1,super,1.0,excellent,1,good,good good not bad super excellent good,good good not bad super excellent good,0.6305555555555555,0.6604,0.6454777777777778,Positive
1,All is good. no other university is so serious about the concept of practicals.,1.0,IP is provided to the students which is very helpful for the students.,1.0,All is good .,1,This is the best in our university because there is no other university which takes seriously for practical work.,0.0,Really our library provides very good facilites for students and teachers but fine  system was not good it was directly increased upto 10.This is not a good thing.,1,More than best,All is good. no other university is so serious about the concept of practicals. IP is provided to the students which is very helpful for the students. All is good . This is the best in our university because there is no other university which takes seriously for practical work. Really our library provides very good facilites for students and teachers but fine  system was not good it was directly increased upto 10.This is not a good thing. More than best,all is good no other university is so serious about the concept of practicals ip is provided to the students which is very helpful for the students all is good  this is the best in our university because there is no other university which takes seriously for practical work really our library provides very good facilites for students and teachers but fine  system was not good it was directly increased upto 10this is not a good thing more than best,0.28031249999999996,0.8903,0.5853062499999999,Positive
1,"lecture delivery depends on teacher's knowledge, punctuality is good",0.0,depth of course is less on the other hand knowledge and material is good,1.0,"I like it , i am satisfied all these work",-1,"some time lab is not proper working , some teacher's practical knowledge is less on the other side evaluations is not that much good   ",1.0,Its good and proper design,1,Its upto mark and very efficiently held in our university,"lecture delivery depends on teacher's knowledge, punctuality is good depth of course is less on the other hand knowledge and material is good I like it , i am satisfied all these work some time lab is not proper working , some teacher's practical knowledge is less on the other side evaluations is not that much good    Its good and proper design Its upto mark and very efficiently held in our university",lecture delivery depends on teachers knowledge punctuality is good depth of course is less on the other hand knowledge and material is good i like it  i am satisfied all these work some time lab is not proper working  some teachers practical knowledge is less on the other side evaluations is not that much good    its good and proper design its upto mark and very efficiently held in our university,0.24305555555555558,0.95,0.5965277777777778,Positive
1,way of teaching is average,-1.0,content does not provide deep knowledge,1.0,excellent ,1,satisfactory,1.0,Excellent,1,provides good platform to interested students,way of teaching is average content does not provide deep knowledge excellent  satisfactory Excellent provides good platform to interested students,way of teaching is average content does not provide deep knowledge excellent  satisfactory excellent provides good platform to interested students,0.4666666666666666,0.9382,0.7024333333333334,Positive
-1,not so good,0.0,average,1.0,quite good,-1,very poor.no equipments are there,1.0,good,-1,no comments. Because when you participiate you get reappear or backlog and no time is given for exam preparation,not so good average quite good very poor.no equipments are there good no comments. Because when you participiate you get reappear or backlog and no time is given for exam preparation,not so good average quite good very poorno equipments are there good no comments because when you participiate you get reappear or backlog and no time is given for exam preparation,0.43,0.0181,0.22405,Positive
0,average,-1.0,sometime it is irrelevent with the ongoing courses.,1.0,good,-1,poor,0.0,average,-1,"the activities are very good but no time is given to students for participation, so its of no use","average sometime it is irrelevent with the ongoing courses. good poor average the activities are very good but no time is given to students for participation, so its of no use",average sometime it is irrelevent with the ongoing courses good poor average the activities are very good but no time is given to students for participation so its of no use,0.18199999999999997,-0.6591,-0.23855000000000004,Negative
1,good,0.0,average(in one term there should be only two major subjects based on numerical),-1.0,very poor,-1,very poor.no equipments are there,1.0,average,0,average,good average(in one term there should be only two major subjects based on numerical) very poor very poor.no equipments are there average average,good averagein one term there should be only two major subjects based on numerical very poor very poorno equipments are there average average,0.020357142857142855,-0.1263,-0.05297142857142857,Negative
1,the staff is highly punctual ad interactive and encourage students to participate in the class,0.0,some of them are very helpful and knowledgeable and some are just formality,1.0,exam pattern is good and good paper checking but paper checking can be improved,-1,lab practicals and evaluations are below average and need lot of changes and improvements,1.0,library contains all the books regarding courses and other materials and very cooperative library staff,1,lot of activities and students get exposure in games.,the staff is highly punctual ad interactive and encourage students to participate in the class some of them are very helpful and knowledgeable and some are just formality exam pattern is good and good paper checking but paper checking can be improved lab practicals and evaluations are below average and need lot of changes and improvements library contains all the books regarding courses and other materials and very cooperative library staff lot of activities and students get exposure in games.,the staff is highly punctual ad interactive and encourage students to participate in the class some of them are very helpful and knowledgeable and some are just formality exam pattern is good and good paper checking but paper checking can be improved lab practicals and evaluations are below average and need lot of changes and improvements library contains all the books regarding courses and other materials and very cooperative library staff lot of activities and students get exposure in games,0.24071428571428571,0.9216,0.5811571428571428,Positive
1,"staff and faculty members are always available for interaction, very punctual and delivery of lecture can be improved",0.0,"very knowledgeable, some subjects do not have dedicated material like books available",1.0,"exam pattern is good, very well marks distribution and paper checking varies from faculty to faculty.",-1,lab practical work can further be improved so that it can meet industrial standards,1.0,all the books are easily available and accessable and the limit of book issued need to be increased,1,too many activities are conducted and student get ample amount of opportunities to participate,"staff and faculty members are always available for interaction, very punctual and delivery of lecture can be improved very knowledgeable, some subjects do not have dedicated material like books available exam pattern is good, very well marks distribution and paper checking varies from faculty to faculty. lab practical work can further be improved so that it can meet industrial standards all the books are easily available and accessable and the limit of book issued need to be increased too many activities are conducted and student get ample amount of opportunities to participate",staff and faculty members are always available for interaction very punctual and delivery of lecture can be improved very knowledgeable some subjects do not have dedicated material like books available exam pattern is good very well marks distribution and paper checking varies from faculty to faculty lab practical work can further be improved so that it can meet industrial standards all the books are easily available and accessable and the limit of book issued need to be increased too many activities are conducted and student get ample amount of opportunities to participate,0.3333333333333333,0.9486,0.6409666666666667,Positive
1,good delivery,1.0,optimum content,1.0,all excellent,1,excellent work,1.0,all are good,1,they are going excellent,good delivery optimum content all excellent excellent work all are good they are going excellent,good delivery optimum content all excellent excellent work all are good they are going excellent,0.85,0.9509,0.90045,Positive
1,"our university is good in terms of lecture delivery,interaction and punctuality",1.0,very good,1.0,Excellent ,1,good,1.0,library facilities are good . Every book is available in the library,1,good,"our university is good in terms of lecture delivery,interaction and punctuality very good Excellent  good library facilities are good . Every book is available in the library good",our university is good in terms of lecture deliveryinteraction and punctuality very good excellent  good library facilities are good  every book is available in the library good,0.7300000000000001,0.9586,0.8443,Positive
1,very good,1.0,very good,1.0,good,1,very good,1.0,very good library facilities. Issuing time of book must be increased,1,excellent,very good very good good very good very good library facilities. Issuing time of book must be increased excellent,very good very good good very good very good library facilities issuing time of book must be increased excellent,0.89,0.9693,0.9296500000000001,Positive
1,good,-1.0,it is not appropriate,0.0,marks distribution is good but paper checking is not that well,-1,its hard to find a computer working in lab. Students cannot save data in one single PC,-1.0,"as per libraries, few books are not available and in computer library there are hardly 5 PCs working",0,not much interested,"good it is not appropriate marks distribution is good but paper checking is not that well its hard to find a computer working in lab. Students cannot save data in one single PC as per libraries, few books are not available and in computer library there are hardly 5 PCs working not much interested",good it is not appropriate marks distribution is good but paper checking is not that well its hard to find a computer working in lab students cannot save data in one single pc as per libraries few books are not available and in computer library there are hardly 5 pcs working not much interested,-0.0033068783068783197,-0.7391,-0.3712034391534392,Negative
1,"interaction satisfied, lecture delivery good,punctuality always on time",1.0,Satisfied knowedgeable and proper course material,1.0,satisfied,1,good,1.0,good,1,very good,"interaction satisfied, lecture delivery good,punctuality always on time Satisfied knowedgeable and proper course material satisfied good good very good",interaction satisfied lecture delivery goodpunctuality always on time satisfied knowedgeable and proper course material satisfied good good very good,0.5442857142857144,0.9468,0.7455428571428572,Positive
1,Excellent but it depends upon teacher,1.0,"Good, but there should be at least one a practical subject in every semester",1.0,Excellent,-1,"Not good, becouse in lab teachers donot teach us how to work on live projects or how to make a live project. So i have ovserved that whatever teachers have been teachig us in lab that will not usefull in our future life.",1.0,Excellent,1,Excellent,"Excellent but it depends upon teacher Good, but there should be at least one a practical subject in every semester Excellent Not good, becouse in lab teachers donot teach us how to work on live projects or how to make a live project. So i have ovserved that whatever teachers have been teachig us in lab that will not usefull in our future life. Excellent Excellent",excellent but it depends upon teacher good but there should be at least one a practical subject in every semester excellent not good becouse in lab teachers donot teach us how to work on live projects or how to make a live project so i have ovserved that whatever teachers have been teachig us in lab that will not usefull in our future life excellent excellent,0.3778236914600551,0.965,0.6714118457300275,Positive
1,good,1.0,Yes,1.0,Good,-1,not good..the timing is too much for labs and syllabus is also so vast.we don't get propr revision,-1.0,books are less,-1,bcoz of lectures..we don't get time to participate..,good Yes Good not good..the timing is too much for labs and syllabus is also so vast.we don't get propr revision books are less bcoz of lectures..we don't get time to participate..,good yes good not goodthe timing is too much for labs and syllabus is also so vastwe dont get propr revision books are less bcoz of lectureswe dont get time to participate,0.3583333333333333,0.8176,0.5879666666666666,Positive
1,Good,1.0,Good,-1.0,Very Tough,1,Good,1.0,Excellent,0,Average,Good Good Very Tough Good Excellent Average,good good very tough good excellent average,0.4074074074074074,0.9032,0.6553037037037037,Positive
1,good,1.0,good,1.0,good,1,good,1.0,excellent,1,good,good good good good excellent good,good good good good excellent good,0.75,0.9531,0.85155,Positive
1,Good,1.0,Good,1.0,Excellent,1,Good,1.0,Good,1,Good,Good Good Excellent Good Good Good,good good excellent good good good,0.75,0.9531,0.85155,Positive
1, very good.,1.0, good.,1.0,good.,1,satisfactory.,1.0,good.,1,good., very good.  good. good. satisfactory. good. good.,very good  good good satisfactory good good,0.742,0.9504,0.8462000000000001,Positive
1,it is ok,-1.0,it is not very deep,1.0,it is good,-1,i hate it,1.0,i love it,1,very good,it is ok it is not very deep it is good i hate it i love it very good,it is ok it is not very deep it is good i hate it i love it very good,0.30166666666666664,0.8313,0.5664833333333333,Positive
-1,some teachers aren't doing their jobs in very well manner,1.0,course contents are very much relevant to our courses,-1.0,bad,1,very good,-1.0,i think library facilities are only for hostelers ,-1,"i also want to participate in that activities but i can't take part in those activities because I'm a day scholar 
","some teachers aren't doing their jobs in very well manner course contents are very much relevant to our courses bad very good i think library facilities are only for hostelers  i also want to participate in that activities but i can't take part in those activities because I'm a day scholar 
",some teachers arent doing their jobs in very well manner course contents are very much relevant to our courses bad very good i think library facilities are only for hostelers  i also want to participate in that activities but i cant take part in those activities because im a day scholar,0.16200000000000003,0.1761,0.16905000000000003,Positive
1,Some of the teachers are not well experienced but they are interactive and helpful and punctual.,0.0,The course structure is good and follows todays technology. Some subjects portion are too vast and are difficult to cover in 1 sem,0.0,Examination pattern is good but mcq paper checking marks are not correct sometimes.,-1,Practical work is in interesting but different teachers evaluate in their own way. Some of the teachers in some section  give marks without taking viva and some does not give marks accordingly ,-1.0,Capacity of library is less compared to size of university.,1,Extracurricular activities are good and provide a  good platform.,Some of the teachers are not well experienced but they are interactive and helpful and punctual. The course structure is good and follows todays technology. Some subjects portion are too vast and are difficult to cover in 1 sem Examination pattern is good but mcq paper checking marks are not correct sometimes. Practical work is in interesting but different teachers evaluate in their own way. Some of the teachers in some section  give marks without taking viva and some does not give marks accordingly  Capacity of library is less compared to size of university. Extracurricular activities are good and provide a  good platform.,some of the teachers are not well experienced but they are interactive and helpful and punctual the course structure is good and follows todays technology some subjects portion are too vast and are difficult to cover in 1 sem examination pattern is good but mcq paper checking marks are not correct sometimes practical work is in interesting but different teachers evaluate in their own way some of the teachers in some section  give marks without taking viva and some does not give marks accordingly  capacity of library is less compared to size of university extracurricular activities are good and provide a  good platform,0.36666666666666675,0.9638,0.6652333333333333,Positive
0,not all the teachers are teaching well but it's fine,1.0,good,-1.0,very strict,1,good,1.0,library has providing excellent facilities,1,good,not all the teachers are teaching well but it's fine good very strict good library has providing excellent facilities good,not all the teachers are teaching well but its fine good very strict good library has providing excellent facilities good,0.6194444444444445,0.9673,0.7933722222222223,Positive
1,EXCELLENT,1.0,GOOD,1.0,It is a good way in pattern,1,good,1.0,It will provide us various books to increase our knowledge or to understand the  concept because it is good,1,It is good ,EXCELLENT GOOD It is a good way in pattern good It will provide us various books to increase our knowledge or to understand the  concept because it is good It is good ,excellent good it is a good way in pattern good it will provide us various books to increase our knowledge or to understand the  concept because it is good it is good,0.6428571428571429,0.9612,0.8020285714285715,Positive
1,"The faculty is good ,interaction between student and teacher is also good",1.0,content of the course is good ,1.0,good,1,good,1.0,good,1,good,"The faculty is good ,interaction between student and teacher is also good content of the course is good  good good good good",the faculty is good interaction between student and teacher is also good content of the course is good  good good good good,0.7000000000000001,0.9601,0.83005,Positive
-1,not good,-1.0,syllabus is not in debth,1.0,good,1,good,1.0,good,1,good,not good syllabus is not in debth good good good good,not good syllabus is not in debth good good good good,0.48999999999999994,0.5978,0.5438999999999999,Positive
1,Good,1.0,Excellent,-1.0,Not good,1,Good,1.0,Good,1,Good,Good Excellent Not good Good Good Good,good excellent not good good good good,0.5750000000000001,0.5076,0.5413000000000001,Positive
1,Good,1.0,Very good,1.0,Very good,1,Good,1.0,Good,1,Excellent,Good Very good Very good Good Good Excellent,good very good very good good good excellent,0.82,0.9617,0.8908499999999999,Positive
-1,some of our faculty member are not so experienced that's why most of the time we are facing problems subjects like CSE(c++),1.0,as per the courses all the sub are providing  worth knowledge,-1.0,as per the exam pattern maths exam always have to be subjective rather than objective.,1,as per the lab evaluation we r satisfied with  it,-1.0,duration of issuing   books from library should be changed from 1week to 2 week that would be great.,1,that's  great,some of our faculty member are not so experienced that's why most of the time we are facing problems subjects like CSE(c++) as per the courses all the sub are providing  worth knowledge as per the exam pattern maths exam always have to be subjective rather than objective. as per the lab evaluation we r satisfied with  it duration of issuing   books from library should be changed from 1week to 2 week that would be great. that's  great,some of our faculty member are not so experienced thats why most of the time we are facing problems subjects like csec as per the courses all the sub are providing  worth knowledge as per the exam pattern maths exam always have to be subjective rather than objective as per the lab evaluation we r satisfied with  it duration of issuing   books from library should be changed from 1week to 2 week that would be great thats  great,0.5285714285714286,0.9136,0.7210857142857143,Positive
1,good,1.0,very good,1.0,all good,1,good,-1.0,absolutely fine all books are there but the thing is that the time limit is very less we have to return the book that we have issued  very fast,1,best,good very good all good good absolutely fine all books are there but the thing is that the time limit is very less we have to return the book that we have issued  very fast best,good very good all good good absolutely fine all books are there but the thing is that the time limit is very less we have to return the book that we have issued  very fast best,0.55875,0.9305,0.744625,Positive
1,its to good ,0.0,i dont know,-1.0,its very bad thing not sowing answer of mcQ in exam we dont jiged what is rigth and rong where mak mistacvk ,1,lab and practical work are litial good,0.0,i dont think about ,0,hahahah,its to good  i dont know its very bad thing not sowing answer of mcQ in exam we dont jiged what is rigth and rong where mak mistacvk  lab and practical work are litial good i dont think about  hahahah,its to good  i dont know its very bad thing not sowing answer of mcq in exam we dont jiged what is rigth and rong where mak mistacvk  lab and practical work are litial good i dont think about  hahahah,0.16333333333333336,0.2516,0.2074666666666667,Positive
1,everything is good ,1.0,regarding the courses everything is good,1.0,coming to the examinations it is good,1,good,,very good,1,very good it is a good oppurtunities to many students,everything is good  regarding the courses everything is good coming to the examinations it is good good very good very good it is a good oppurtunities to many students,everything is good  regarding the courses everything is good coming to the examinations it is good good very good very good it is a good oppurtunities to many students,0.7275,0.9645,0.8460000000000001,Positive
-1,"everything is good but when coming to some lectures who dont have a good grip on subject,they dont behave well with students and they dont even teach all the concepts in the subject. ",1.0,coming to the courses these are very well planned... and it all depends on the lectures.,0.0,In CA's its in the hands of lectures... while in mte's and ete's its good.,-1,not very good... must be improved.,1.0,very good.,1,there are many oppertunities for students .. its all upon students about how they utilize them.,"everything is good but when coming to some lectures who dont have a good grip on subject,they dont behave well with students and they dont even teach all the concepts in the subject.  coming to the courses these are very well planned... and it all depends on the lectures. In CA's its in the hands of lectures... while in mte's and ete's its good. not very good... must be improved. very good. there are many oppertunities for students .. its all upon students about how they utilize them.",everything is good but when coming to some lectures who dont have a good grip on subjectthey dont behave well with students and they dont even teach all the concepts in the subject  coming to the courses these are very well planned and it all depends on the lectures in cas its in the hands of lectures while in mtes and etes its good not very good must be improved very good there are many oppertunities for students  its all upon students about how they utilize them,0.4092628205128205,0.8613,0.6352814102564102,Positive
1,excellent,1.0,good,0.0,i think mid trem should be also subjective ,1,good,1.0,good,1,excellent,excellent good i think mid trem should be also subjective  good good excellent,excellent good i think mid trem should be also subjective  good good excellent,0.6833333333333332,0.9442,0.8137666666666666,Positive
0,"everything was good regarding to university but, some lecturers don't have grip on the subject and lag in the teaching",1.0,good,1.0,exam pattern and marks distribution are good,1,very good,1.0,very good,1,excellent,"everything was good regarding to university but, some lecturers don't have grip on the subject and lag in the teaching good exam pattern and marks distribution are good very good very good excellent",everything was good regarding to university but some lecturers dont have grip on the subject and lag in the teaching good exam pattern and marks distribution are good very good very good excellent,0.679047619047619,0.9719,0.8254738095238094,Positive
0,normal,1.0,good,1.0,good,-1,bad,1.0,good,1,good,normal good good bad good good,normal good good bad good good,0.375,0.7964,0.5857,Positive
1,good,1.0,good,1.0,very good,1,good,1.0,good,1,"good
","good good very good good good good
",good good very good good good good,0.735,0.9534,0.8442000000000001,Positive
1,good,1.0,upto the mark,1.0,good,1,good,1.0,good,0,average,good upto the mark good good good average,good upto the mark good good good average,0.53,0.891,0.7105,Positive
1,teaching activities of our university is good. i am satisfied with it.,1.0,It is so good.,1.0,Examination pattern and marks distribution all the terms are good.Ca and MTE also give the chance to students for improving.,1,With the help of practicals students are able to understand all the concept.so it is also good.,1.0,It is excellent.,1,It is excellent.,teaching activities of our university is good. i am satisfied with it. It is so good. Examination pattern and marks distribution all the terms are good.Ca and MTE also give the chance to students for improving. With the help of practicals students are able to understand all the concept.so it is also good. It is excellent. It is excellent.,teaching activities of our university is good i am satisfied with it it is so good examination pattern and marks distribution all the terms are goodca and mte also give the chance to students for improving with the help of practicals students are able to understand all the conceptso it is also good it is excellent it is excellent,0.7285714285714285,0.9782,0.8533857142857142,Positive
1,GOOD,1.0,GOOD,1.0,GOOD,1,GOOD,1.0,GOOD,0,Poor,GOOD GOOD GOOD GOOD GOOD Poor,good good good good good poor,0.5166666666666667,0.886,0.7013333333333334,Positive
1,everything is good for faculty,1.0,excellent,0.0,in examinations please try to give question papers,1,very good,1.0,good ,1,some of the universities not conducted any extracurricular activities but in our university doing these it is good for our feature ,everything is good for faculty excellent in examinations please try to give question papers very good good  some of the universities not conducted any extracurricular activities but in our university doing these it is good for our feature ,everything is good for faculty excellent in examinations please try to give question papers very good good  some of the universities not conducted any extracurricular activities but in our university doing these it is good for our feature,0.8019999999999999,0.8998,0.8509,Positive
1,satisfactory,0.0,content of course is ample but depth must be more,1.0,very good,1,good,-1.0,library facilities need to be improve by bringing some more books,1,good,satisfactory content of course is ample but depth must be more very good good library facilities need to be improve by bringing some more books good,satisfactory content of course is ample but depth must be more very good good library facilities need to be improve by bringing some more books good,0.6619999999999999,0.9649,0.81345,Positive
1,GOOD,0.0,COURSE IS GOOD NO PROPER COURSE MATERIAL,1.0,GOOD AND STRICT,1,LAB IS VERY GOOD,1.0,EXELLENT,1,IT IS VERY MUCH USEFUL AND WE CAN PARTICIPATE IN OUR INTERESTS,GOOD COURSE IS GOOD NO PROPER COURSE MATERIAL GOOD AND STRICT LAB IS VERY GOOD EXELLENT IT IS VERY MUCH USEFUL AND WE CAN PARTICIPATE IN OUR INTERESTS,good course is good no proper course material good and strict lab is very good exellent it is very much useful and we can participate in our interests,0.5516666666666666,0.9309,0.7412833333333333,Positive
1,all are good,1.0,excellent,-1.0,not much good ,1,good,1.0,excellent,1,very good,all are good excellent not much good  good excellent very good,all are good excellent not much good  good excellent very good,0.66,0.8651,0.7625500000000001,Positive
0,good but not good . sir improve the subject,1.0,good,0.0,exams conducting is very good .but paper correction is very bad,-1,not good...... must be improve,1.0,good ,1,excelent,good but not good . sir improve the subject good exams conducting is very good .but paper correction is very bad not good...... must be improve good  excelent,good but not good  sir improve the subject good exams conducting is very good but paper correction is very bad not good must be improve good  excelent,0.15416666666666667,0.4362,0.29518333333333335,Positive
0,"The university is good but it also has a long way to go. More teachers should have their PhD and college fests related to academic curriculum must be improved to a great extent and must be managed properly.The interaction is good, lecture delivery needs more lucidity. The punctuality is top notch.",-1.0,Content of the courses should be changed a bit. More of industry oriented feature like Linux and GitHub must be implemented. Proper detailing and advanced knowledge is required and is to be instilled in the students.The course material is good.,0.0,The examination pattern is good. More of logic based and subjective questions to be asked which is based upon conceptual learning. Paper checking must be done in a more lucid manner because many doubts arise with the checking of OMR sheet.,1,Lab evaluations are good.,1.0,Library facilities are the strength of this university. It is awesome.,1,Quite a lot of events are organized and students have a all round growth which is a nice thing.,"The university is good but it also has a long way to go. More teachers should have their PhD and college fests related to academic curriculum must be improved to a great extent and must be managed properly.The interaction is good, lecture delivery needs more lucidity. The punctuality is top notch. Content of the courses should be changed a bit. More of industry oriented feature like Linux and GitHub must be implemented. Proper detailing and advanced knowledge is required and is to be instilled in the students.The course material is good. The examination pattern is good. More of logic based and subjective questions to be asked which is based upon conceptual learning. Paper checking must be done in a more lucid manner because many doubts arise with the checking of OMR sheet. Lab evaluations are good. Library facilities are the strength of this university. It is awesome. Quite a lot of events are organized and students have a all round growth which is a nice thing.",the university is good but it also has a long way to go more teachers should have their phd and college fests related to academic curriculum must be improved to a great extent and must be managed properlythe interaction is good lecture delivery needs more lucidity the punctuality is top notch content of the courses should be changed a bit more of industry oriented feature like linux and github must be implemented proper detailing and advanced knowledge is required and is to be instilled in the studentsthe course material is good the examination pattern is good more of logic based and subjective questions to be asked which is based upon conceptual learning paper checking must be done in a more lucid manner because many doubts arise with the checking of omr sheet lab evaluations are good library facilities are the strength of this university it is awesome quite a lot of events are organized and students have a all round growth which is a nice thing,0.4547619047619048,0.9944,0.7245809523809523,Positive
1,"our university is good in punctuality,lecture delivery but it is not good in terms of interaction",1.0,"good it was knowledgeable,depth of the course is good,there is but proper course materials in only for some  subjects",1.0,all these are good,0,it was good but it can be improved,1.0,good,1,very good,"our university is good in punctuality,lecture delivery but it is not good in terms of interaction good it was knowledgeable,depth of the course is good,there is but proper course materials in only for some  subjects all these are good it was good but it can be improved good very good",our university is good in punctualitylecture delivery but it is not good in terms of interaction good it was knowledgeabledepth of the course is goodthere is but proper course materials in only for some  subjects all these are good it was good but it can be improved good very good,0.4511111111111111,0.9741,0.7126055555555555,Positive
0,average,0.0,average,1.0,the best pattern of examination are in lpu .,-1,"most of the teacher don't even bother about the practical performed by students.They give marks just by seeing face or something like that.
",0.0,Almost each and every books is there.But the time limit for keeping book is too much shorted. ,-1,Activities are not up to the mark as  advertisement.,"average average the best pattern of examination are in lpu . most of the teacher don't even bother about the practical performed by students.They give marks just by seeing face or something like that.
 Almost each and every books is there.But the time limit for keeping book is too much shorted.  Activities are not up to the mark as  advertisement.","average average the best pattern of examination are in lpu  most of the teacher dont even bother about the practical performed by studentsthey give marks just by seeing face or something like that
 almost each and every books is therebut the time limit for keeping book is too much shorted  activities are not up to the mark as  advertisement",0.27999999999999997,0.8288,0.5544,Positive
